score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
19,2,RETRY,unsettled,-5,38,8,False,False,29,1,4775
20,2,STAND,win,20,38,25,False,False,29,1,4770
15,2,SURRENDER,surrendered,-10,47,5,False,False,12,1,4790
13,2,HIT,unsettled,0,40,26,False,False,49,1,4770
9,2,RETRY,unsettled,-5,17,29,False,False,36,1,4750
17,2,DOUBLE DOWN,win,40,19,9,False,False,9,1,4685
19,2,RETRY,unsettled,-5,47,50,False,False,50,1,4725
13,2,RETRY,unsettled,-5,25,15,False,False,33,1,4580
12,2,STAND,win,20,25,1,False,False,33,1,4575
20,2,STAND,win,20,48,38,False,False,40,1,4595
15,2,DOUBLE DOWN,win,40,3,26,False,False,45,1,4575
14,2,HIT,unsettled,0,16,24,False,False,11,1,4615
17,3,RETRY,unsettled,-5,16,24,False,False,11,1,4615
14,2,RETRY,unsettled,-5,42,25,False,False,4,1,4570
13,2,RETRY,unsettled,-5,42,8,False,False,4,1,4565
7,2,STAND,win,20,42,2,False,False,4,1,4560
13,2,RETRY,unsettled,-5,29,47,False,False,7,1,4580
14,2,RETRY,unsettled,-5,42,23,False,False,23,1,4475
15,2,RETRY,unsettled,-5,11,17,False,False,37,1,4420
13,2,DOUBLE DOWN,win,40,11,41,False,False,37,1,4415
8,2,DOUBLE DOWN,win,40,3,42,False,False,35,1,4375
16,2,STAND,win,20,7,46,False,False,0,1,4395
6,2,RETRY,unsettled,-5,1,29,False,False,6,1,4415
11,2,DOUBLE DOWN,win,40,1,8,False,False,6,1,4410
21,2,HIT,unsettled,0,39,48,True,False,10,1,4380
11,2,DOUBLE DOWN,win,40,34,1,False,False,48,1,4210
13,2,HIT,unsettled,0,0,40,False,False,47,1,4250
12,3,STAND,win,20,0,40,False,False,47,1,4250
10,2,HIT,unsettled,0,4,4,False,False,32,1,4270
17,3,SURRENDER,surrendered,-10,4,4,False,False,32,1,4270
7,2,RETRY,unsettled,-5,16,28,False,False,14,1,4250
16,2,RETRY,unsettled,-5,45,34,False,False,31,1,4195
21,2,STAND,win,30,39,37,True,False,30,1,4180
19,2,HIT,unsettled,0,13,7,False,False,11,1,4200
15,3,STAND,win,20,13,7,False,False,11,1,4200
10,2,RETRY,unsettled,-5,33,14,False,False,21,1,4220
7,2,HIT,unsettled,0,30,1,False,False,24,1,4095
12,3,STAND,win,20,30,1,False,False,24,1,4095
14,2,HIT,unsettled,0,26,28,False,False,38,1,4095
21,3,HIT,unsettled,0,26,28,False,False,38,1,4095
19,2,RETRY,unsettled,-5,26,7,False,False,50,1,4055
18,2,STAND,win,20,39,32,False,False,48,1,4010
14,2,RETRY,unsettled,-5,21,17,False,False,44,1,4010
15,2,STAND,win,20,21,5,False,False,44,1,4005
5,2,STAND,win,20,14,28,False,False,22,1,3985
12,2,HIT,unsettled,0,26,26,False,False,41,1,3985
20,2,RETRY,unsettled,-5,50,38,False,False,33,1,3965
8,2,RETRY,unsettled,-5,31,27,False,False,5,1,3900
11,2,RETRY,unsettled,-5,30,18,False,False,40,1,3815
13,2,STAND,win,20,30,20,False,False,40,1,3810
20,2,STAND,win,20,11,36,False,False,12,1,3830
19,2,RETRY,unsettled,-5,0,33,False,False,6,1,3840
14,2,HIT,unsettled,0,15,39,False,False,42,1,3815
21,2,STAND,win,30,0,48,True,False,43,1,3805
17,2,STAND,draw,0,38,32,False,False,40,1,3835
10,2,RETRY,unsettled,-5,19,2,False,False,24,1,3835
17,2,DOUBLE DOWN,win,40,19,49,False,False,24,1,3830
15,2,SURRENDER,surrendered,-10,26,16,False,False,30,1,3870
21,2,HIT,unsettled,0,13,37,True,False,46,1,3780
14,2,HIT,unsettled,0,18,20,False,False,9,1,3770
20,3,STAND,draw,0,18,20,False,False,9,1,3770
21,2,HIT,unsettled,0,13,22,True,False,21,1,3740
21,3,RETRY,unsettled,-5,13,22,False,False,21,1,3740
12,2,HIT,unsettled,0,38,1,False,False,10,1,3685
11,2,DOUBLE DOWN,win,40,15,7,False,False,5,1,3665
14,2,STAND,win,20,19,45,False,False,39,1,3705
17,2,DOUBLE DOWN,win,40,18,13,False,False,27,1,3725
15,2,SURRENDER,surrendered,-10,23,43,False,False,15,1,3765
17,2,RETRY,unsettled,-5,26,44,False,False,21,1,3715
12,2,HIT,unsettled,0,42,46,False,False,48,1,3660
13,3,RETRY,unsettled,-5,42,46,False,False,48,1,3660
17,2,HIT,unsettled,0,13,5,False,False,42,1,3585
17,3,RETRY,unsettled,-5,13,5,False,False,42,1,3585
17,3,STAND,win,20,13,5,False,False,42,1,3580
16,2,DOUBLE DOWN,win,40,18,12,False,False,51,1,3460
20,2,RETRY,unsettled,-5,22,23,False,False,40,1,3500
